month,actual_revenue,budget_revenue,closing_cash
2019-01,1862848.37,1920950.54,8384108.08
2019-02,2137157.69,2167210.0,9412219.09
2019-03,2220899.19,2331581.01,9157992.53
2019-04,2209451.49,2292218.32,8903992.67
2019-05,1988127.18,2019627.0,8341924.95
2019-06,1836194.86,1888642.07,8142280.78
2019-07,1648852.93,1694978.03,8568800.24
2019-08,1597017.0,1646293.25,8604129.44
2019-09,2258154.22,2320323.27,7897675.76
2019-10,2483500.41,2522863.15,7700215.36
2019-11,2454439.39,2469528.58,6763125.34
2019-12,2429528.84,2578177.9,5638815.88
2020-01,2267589.0,2756787.06,6088764.5
2020-02,2507898.9,3016640.54,6396157.36
2020-03,1913939.15,2325358.08,6835876.24
2020-04,1436255.0,1717089.49,6576964.98
2020-05,1325309.6,1592260.47,6717096.62
2020-06,1445960.75,1667672.87,6609361.11
2020-07,1489464.51,1734333.41,6073836.73
2020-08,1612589.0,1948412.77,5143635.63
2020-09,2294663.36,2748585.15,3976101.46
2020-10,2098133.36,2496934.48,4187606.49
2020-11,2486083.31,2891469.34,4538882.61
2020-12,2429401.02,2932262.84,3920824.63
2021-01,2362701.52,1848410.56,3407597.52
2021-02,2449675.82,1917121.48,4236740.04
2021-03,2483427.41,1964027.53,3112928.14
2021-04,2459588.05,1949268.39,3552553.75
2021-05,2373506.2,1929706.46,2562032.52
2021-06,2186239.74,1715763.94,3093427.24
2021-07,,,
2021-08,2290179.66,1835616.95,3945535.96
2021-09,2738531.48,2195309.82,3484502.42
2021-10,3125067.4,2499313.87,3586457.01
2021-11,3547169.33,2840323.45,3478851.04
2021-12,2998152.47,2434341.89,2931226.43
2022-01,2848300.58,2739108.46,2866816.08
2022-02,2859433.06,2747228.22,4041396.55
2022-03,2814199.0,2775938.33,3752733.27
2022-04,2801976.52,2637041.28,3779427.18
2022-05,2385004.09,2408184.32,2855420.66
2022-06,2441497.77,2431903.0,2199027.48
2022-07,2161081.43,2116623.65,2224224.1
2022-08,2347465.14,2296842.0,3230454.05
2022-09,3210682.0,3094651.2,3014851.75
2022-10,3343184.13,3268829.2,3142253.71
2022-11,3375058.29,3381811.16,3345012.89
2022-12,3654032.87,3597023.97,2711317.23
2023-01,3331528.63,3726827.52,2863518.57
2023-02,,,
2023-03,3121437.76,3461853.74,2298239.43
2023-04,3027255.09,3321939.56,2972766.91
2023-05,2608256.32,2897189.54,2829570.79
2023-06,2520653.76,2765619.46,3093983.86
2023-07,2063934.07,2290574.36,3427749.9
2023-08,2305590.35,2459715.63,4734544.47
2023-09,3019764.52,3304599.78,4995666.79
2023-10,3259865.28,3480464.77,5096356.28
2023-11,3276974.25,3688667.4,5711549.27
2023-12,3083731.64,3398903.53,4692917.65
2024-01,3034470.57,3045918.95,3829001.04
2024-02,3176216.73,3134411.47,4919059.47
2024-03,3031767.54,3052916.3,6085481.1
2024-04,2934143.39,2958056.38,6940540.01
2024-05,2691738.96,2708893.01,5799123.95
2024-06,2580914.18,,5883554.11
2024-07,2455365.36,2478013.05,6038167.68
2024-08,2478203.58,2432211.03,6239923.66
2024-09,3454121.17,3410224.26,5245536.4
2024-10,3665142.91,3700964.64,5937461.94
2024-11,3810995.2,3870985.0,4989508.5
2024-12,3622601.31,3643494.21,4635767.12
2025-01,3214672.51,3242751.68,4441571.51
2025-02,3435986.87,3346172.63,4263006.61
2025-03,4000077.11,3863362.95,5340439.46
2025-04,3672708.9,3700738.02,5449894.49
2025-05,3130252.55,3060481.93,4855436.41
2025-06,2913190.44,2951956.66,4734118.78
2025-07,2585016.42,2579895.52,4559658.37
2025-08,2878058.55,2892004.28,4535578.83
2025-09,3550052.34,3561299.27,4072830.67
2025-10,3661803.92,3573493.23,3698682.64
2025-11,3898274.29,3818993.05,4832180.19
2025-12,3527850.2,3533599.68,4185433.39
