fold,origin,model,wape,mae,mase,n_scored,train_months,imputed_in_train,detail
1,2020-12,Seasonal naive,0.252043928149778,664805.7081818184,2.2552998287135804,11,24,0,
1,2020-12,Holt-Winters,0.1821595208058056,480474.5352143525,1.629971168469281,11,24,0,
1,2020-12,SARIMA,0.2520835769579658,664910.2881818182,2.2556546079418327,11,24,0,"(0,1,0)(0,1,1,12)"
2,2021-12,Seasonal naive,0.1055786165011537,301267.83328172256,0.6388782239533423,12,36,1,
2,2021-12,Holt-Winters,0.0594989508011976,169779.83406532658,0.3600405581611411,12,36,1,
2,2021-12,SARIMA,0.1274972461135965,363812.487404682,0.7715124222631445,12,36,1,"(0,1,1)(1,1,1,12)"
3,2022-12,Seasonal naive,0.0758973396446705,218163.39545454545,0.5259556334665579,11,48,1,
3,2022-12,Holt-Winters,0.1894259456646819,544496.1270957683,1.3126895318532483,11,48,1,
3,2022-12,SARIMA,0.1844492144581012,530190.7432262496,1.2782016324538157,11,48,1,"(0,1,1)(1,1,1,12)"
4,2023-12,Seasonal naive,0.0849460979952445,261461.83077104023,0.7126005176004984,12,60,2,
4,2023-12,Holt-Winters,0.0746063970976657,229636.50635817225,0.6258622637508453,12,60,2,
4,2023-12,SARIMA,0.1034522342723019,318423.2261228158,0.8678458155134728,12,60,2,"(1,1,1)(1,1,0,12)"
